Crop,State,Season,Area-2020-21 (Lakh ha),Area-2021-22 (Lakh ha),Area-2022-23 (Lakh ha),Area-2023-24 (Lakh ha),Area-2024-25 (Lakh ha),Production-2020-21,Production-2021-22 (Lakh Tonnes),Production-2022-23  (Lakh Tonnes),Production-2023-24  (Lakh Tonnes),Production-2024-25  (Lakh Tonnes),Yield-2020-21 (Kg/ha),Yield-2021-22 (Kg/ha),Yield-2022-23 (Kg/ha),Yield-2023-24 (Kg/ha),Yield-2024-25 (Kg/ha)
Barley,Rajasthan,Rabi,2.7,2,3.31,2.83,3.3,9.36,7.11,11.26,10.36,11.02,3469,3547,3403,3665,3342
Barley,Sikkim,Rabi,0,0,0,0,,0,0,0,0,,1168,0,1175,1181,
Barley,Tamil Nadu,Rabi,,,,,,,0,,,,,,,,
Barley,Telangana,Rabi,,,,,,,0,,,,,,,,
Barley,Tripura,Rabi,,0,,,,,0,,,,,0,,,
Barley,Uttar Pradesh,Rabi,1.57,1.65,1.93,1.7,1.77,4.88,5.01,5.92,4.72,5.39,3109,3034,3068,2779,3044
Barley,Uttarakhand,Rabi,0.22,0.2,0.2,0.18,0.14,0.28,0.29,0.28,0.25,0.2,1272,1464,1421,1368,1431
Barley,West Bengal,Rabi,0,0,0,0,0,0.01,0,0,0,0,2139,1659,1860,2425,3000
Barley,Others,Rabi,,,,,0.17,,,,,0.22,,,,,1275
,,,,,,,,,,,,,,,,,
Jowar,Andaman And Nicobar Islands,Kharif,,0,,,,,0,,,,,0,,,
Jowar,Andaman And Nicobar Islands,Rabi,,,,,,,0,,,,,,,,
Jowar,Andhra Pradesh,Kharif,0.03,0.03,0.06,0.06,0.03,0.04,0.02,0.06,0.09,0.01,1332,794,940,1416,437
Jowar,Andhra Pradesh,Rabi,1.17,0.74,0.64,0.97,0.78,4.07,2.57,2.78,3.2,2.89,3482,3476,4346,3306,3709
Jowar,Arunachal Pradesh,Kharif,,0,,,,,0,,,,,0,,,
Jowar,Arunachal Pradesh,Rabi,,0,,,,,0,,,,,0,,,
Jowar,Assam,Kharif,,,,,,,0,,,,,,,,
Jowar,Assam,Rabi,,,,,,,0,,,,,,,,
Jowar,Bihar,Kharif,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,1067,1067,1068,1075,1070
Jowar,Bihar,Rabi,,,,,,,0,,,,,,,,
Jowar,Chandigarh,Kharif,,0,,,,,0,,,,,0,,,
Jowar,Chandigarh,Rabi,,0,,,,,0,,,,,0,,,
Jowar,Chhattisgarh,Kharif,0.02,0.01,0.01,0,0,0.03,0.01,0.01,0,0,1326,834,1471,962,1285
Jowar,Chhattisgarh,Rabi,,,,,,,0,,,,,,,,
Jowar,Dadra And Nagar Haveli,Kharif,0,0,,,,0,0,,,,0,0,,,
Jowar,Dadra And Nagar Haveli,Rabi,,0,,,,,0,,,,,0,,,
Jowar,Daman And Diu,Kharif,,0,,,,,0,,,,,0,,,
Jowar,Daman And Diu,Rabi,,0,,,,,0,,,,,0,,,
Jowar,Delhi,Kharif,0.03,0.03,0.03,0.03,,0.03,0.03,0.03,0.03,,953,951,1000,900,
Jowar,Delhi,Rabi,,,,,,,0,,,,,,,,
Jowar,Goa,Kharif,,,,,,,0,,,,,,,,
Jowar,Goa,Rabi,,,,,,,0,,,,,,,,
Jowar,Gujarat,Kharif,0.26,0.28,0.18,0.2,0.19,0.39,0.4,0.25,0.25,0.26,1488,1433,1374,1257,1365
Jowar,Gujarat,Rabi,0.15,0.15,0.13,0.23,0.14,0.18,0.17,0.21,0.41,0.2,1236,1179,1577,1800,1440
Jowar,Haryana,Kharif,0.31,0.23,0.27,0.19,0.19,0.16,0.12,0.14,0.1,0.1,525,527,526,527,527
Jowar,Haryana,Rabi,,,,,,,0,,,,,,,,
Jowar,Himachal Pradesh,Kharif,0,0,,,0,0,0,,,0,435,560,,,359
Jowar,Himachal Pradesh,Rabi,,,,,,,0,,,,,,,,
Jowar,Jammu And Kashmir,Kharif,0,,,,,0,0,,,,0,,,,
Jowar,Jammu And Kashmir,Rabi,,,,,,,0,,,,,,,,
Jowar,Jharkhand,Kharif,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.03,659,817,967,1018,1576
Jowar,Jharkhand,Rabi,,,,,,,0,,,,,,,,
Jowar,Karnataka,Kharif,0.88,0.75,0.62,0.63,1.08,1.77,1.21,0.99,1.1,2.14,2006,1617,1604,1744,1982
Jowar,Karnataka,Rabi,6.62,5.4,4.93,7.45,5.41,7.27,6.1,5.82,8.33,6.02,1098,1130,1181,1118,1112
Jowar,Kerala,Kharif,0,0,,0.01,,0,0,,0,,833,1387,,372,
Jowar,Kerala,Rabi,0,0,,0,,0,0,,0,,894,1460,,800,
Jowar,Kerala,Summer,,,0,0,,,,0,0,,,,1000,1156,
Jowar,Ladakh,Kharif,,0,,,,,0,,,,,0,,,
Jowar,Ladakh,Rabi,,0,,,,,0,,,,,0,,,
Jowar,Lakshadweep,Kharif,,0,,,,,0,,,,,0,,,
Jowar,Lakshadweep,Rabi,,0,,,,,0,,,,,0,,,
Jowar,Madhya Pradesh,Kharif,1.12,1.23,0.97,0.87,0.9,2.17,2.36,1.69,1.63,1.81,1938,1919,1747,1872,2015
Jowar,Madhya Pradesh,Rabi,0,0,,,,0,0,,,,0,0,,,
Jowar,Maharashtra,Kharif,3.79,2.09,1.43,1.12,1.09,3.81,1.62,1.23,0.99,1.28,1007,773,862,889,1175
Jowar,Maharashtra,Rabi,17,14.4,13.29,15.91,15.46,13.65,13.96,11.84,16.45,17.13,803,970,891,1034,1108
Jowar,Maharashtra,Summer,,,0.06,0.38,0.35,,,0.05,0.31,0.29,,,836,833,843
Jowar,Manipur,Kharif,,0,,,,,0,,,,,0,,,
Jowar,Manipur,Rabi,,,,,,,0,,,,,,,,
Jowar,Meghalaya,Kharif,,0,,,,,0,,,,,0,,,
Jowar,Meghalaya,Rabi,,0,,,,,0,,,,,0,,,
Jowar,Mizoram,Kharif,,,,,,,0,,,,,,,,
Jowar,Mizoram,Rabi,,,,,,,0,,,,,,,,
Jowar,Nagaland,Kharif,0,0,0,0.01,,0,0,0,0.01,,964,929,965,966,
Jowar,Nagaland,Rabi,,,,,,,0,,,,,,,,
Jowar,Odisha,Kharif,0.06,0.06,0.07,0.07,0.01,0.03,0.04,0.06,0.06,0.01,631,629,786,786,649
Jowar,Odisha,Rabi,,,,,,,0,,,,,,,,
Jowar,Puducherry,Kharif,,0,0,0,,,0,0,0,,,2500,2500,3000,
Jowar,Puducherry,Rabi,,,,,,,0,,,,,,,,
Jowar,Punjab,Kharif,,0,,,,,0,,,,,0,,,
Jowar,Punjab,Rabi,,,,,,,0,,,,,,,,
Jowar,Rajasthan,Kharif,5.6,6.2,6.37,5.09,6.41,5.9,5.36,5.67,4.51,5.43,1054,864,890,886,846
Jowar,Rajasthan,Rabi,0,0,,,,0,0,,,,0,0,,,
Jowar,Rajasthan,Summer,,,,0,,,,,0,,,,,1090,
Jowar,Sikkim,Kharif,,0,,,,,0,,,,,0,,,
Jowar,Sikkim,Rabi,,,,,,,0,,,,,,,,
Jowar,Tamil Nadu,Kharif,2.12,1.85,1.66,1.59,1.38,2.4,1.98,1.38,1.58,1.8,1134,1070,834,996,1309
Jowar,Tamil Nadu,Rabi,1.94,2.12,1.85,1.83,1.89,1.87,1.64,1.47,1.2,1.89,966,773,795,658,998
Jowar,Tamil Nadu,Summer,,,0.1,0.13,0.13,,,0.08,0.09,0.1,,,795,658,795
Jowar,Telangana,Kharif,0.43,0.15,0.15,0.12,0.18,0.35,0.1,0.1,0.1,0.15,811,662,680,809,819
Jowar,Telangana,Rabi,0.48,0.54,0.53,0.97,1.46,1.21,1.07,1.09,2.29,2.73,2517,1984,2063,2361,1871
Jowar,Tripura,Kharif,0,0,,,,0,0,,,,852,0,,,
Jowar,Tripura,Rabi,0,0,,,,0,0,,,,0,0,,,
Jowar,Uttar Pradesh,Kharif,1.74,1.71,1.98,2.89,2.68,2.75,2.7,3.15,4.62,4.46,1578,1578,1593,1600,1666
Jowar,Uttar Pradesh,Rabi,,,,,,,0,,,,,,,,
Jowar,Uttarakhand,Kharif,,,,,,,0,,,,,,,,
Jowar,Uttarakhand,Rabi,,,,,,,0,,,,,,,,
Jowar,West Bengal,Kharif,0,0,0,0,0,0,0,0,0,0,538,537,564,600,625
Jowar,West Bengal,Rabi,,,,,,,0,,,,,,,,
Jowar,Others,Kharif,,,,,0.04,,,,,0.03,,,,,921
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Bajra,Andaman And Nicobar Islands,Kharif,,0,,,,,0,,,,,0,,,
Bajra,Andhra Pradesh,Kharif,0.31,0.31,0.21,0.23,0.27,0.71,0.55,0.43,0.48,0.63,2281,1787,2027,2096,2320
Bajra,Andhra Pradesh,Summer,,,0.04,0.03,0.03,,,0.08,0.06,0.07,,,2027,2108,2320
Bajra,Arunachal Pradesh,Kharif,,0,,,,,0,,,,,0,,,
Bajra,Assam,Kharif,,,,,,,0,,,,,,,,
Bajra,Bihar,Kharif,0.04,0.03,0.02,0.03,0.03,0.05,0.03,0.03,0.03,0.04,1134,1140,1140,1138,1139
Bajra,Chandigarh,Kharif,,0,,,,,0,,,,,0,,,
Bajra,Chhattisgarh,Kharif,0,0,0,0,0,0,0,0,0,0,515,429,458,419,531
Bajra,Dadra And Nagar Haveli,Kharif,,,0,0.01,,,0,0.01,0.01,,,,1519,1536,
Bajra,Daman And Diu,Kharif,0,0,,,,0.01,0.01,,,,1509,1530,,,
Bajra,Delhi,Kharif,0.01,0.01,0.01,0.02,,0.05,0.04,0.05,0.05,,4030,2747,3250,3200,
Bajra,Goa,Kharif,,,,,,,0,,,,,,,,
Bajra,Gujarat,Kharif,4.6,4.46,1.84,1.97,1.68,10.09,10.9,3.27,3.5,3.1,2192,2442,1775,1776,1844
Bajra,Gujarat,Summer,,,3.18,3.23,3.18,,,9.67,9.55,9.55,,,3042,2960,3000
Bajra,Haryana,Kharif,5.69,4.83,5.26,5.28,5.74,13.5,11.2,12,11.61,12.52,2372,2318,2280,2200,2182
Bajra,Himachal Pradesh,Kharif,0.01,0.01,0.01,0,0,0,0,0,0,0,557,512,480,480,501
Bajra,Jammu And Kashmir,Kharif,0.13,0.09,0.18,0.19,,0.06,0.05,0.1,0.1,,492,595,587,514,
Bajra,Jharkhand,Kharif,0,0,0,0,0.01,0,0,0,0,0.01,643,618,580,775,718
Bajra,Karnataka,Kharif,2.22,1.48,1.16,1.28,1.19,2.76,1.71,1.62,1.63,1.54,1241,1158,1400,1270,1290
Bajra,Karnataka,Summer,,,0.12,,,,,0.15,,,,,1250,,
Bajra,Kerala,Kharif,,,0,0,0,,0,0,0,0,,,1000,2008,1757
Bajra,Kerala,Summer,,,0,0,0,,,0,0,0,,,1571,2179,1781
Bajra,Ladakh,Kharif,,0,,,,,0,,,,,0,,,
Bajra,Lakshadweep,Kharif,,0,,,,,0,,,,,0,,,
Bajra,Madhya Pradesh,Kharif,3.27,3.43,3.63,3.88,2.87,7.38,8.69,9.43,10.03,8.61,2256,2533,2599,2586,3001
Bajra,Maharashtra,Kharif,6.88,6.67,4.08,3.67,4.04,6.57,6.19,4.45,2.13,5.29,955,928,1091,579,1311
Bajra,Maharashtra,Summer,,,0.26,0.37,0.4,,,0.23,0.33,0.36,,,887,902,905
Bajra,Manipur,Kharif,,0,,,,,0,,,,,0,,,
Bajra,Meghalaya,Kharif,,0,,,,,0,,,,,0,,,
Bajra,Mizoram,Kharif,,,,,,,0,,,,,,,,
Bajra,Nagaland,Kharif,0.01,0.01,0.02,0.03,,0.01,0,0.02,0.03,,1014,752,1076,1034,
Bajra,Odisha,Kharif,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,622,615,633,633,652
Bajra,Puducherry,Kharif,0,0,0,0,,0,0,0,0,,2600,2643,2593,3000,
Bajra,Punjab,Kharif,0,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.01,640,635,690,785,976
Bajra,Rajasthan,Kharif,43.48,37.36,45.44,42.57,43.53,45.61,37.4,50.62,43.84,48.49,1049,1001,1114,1030,1114
Bajra,Rajasthan,Summer,,,0.27,0.31,,,,0.43,0.45,,,,1590,1471,
Bajra,Sikkim,Kharif,,0,,,,,0,,,,,0,,,
Bajra,Tamil Nadu,Kharif,0.67,0.6,0.32,0.33,0.39,1.59,1.46,0.87,1.05,1.04,2357,2437,2719,3152,2660
Bajra,Tamil Nadu,Summer,,,0.13,0.14,0.13,,,0.26,0.12,0.17,,,2010,832,1389
Bajra,Telangana,Kharif,0.1,0.04,0.04,0.05,0.07,0.09,0.04,0.12,0.17,0.17,930,1011,2952,3371,2545
Bajra,Tripura,Kharif,,0,,,,,0,,,,,0,,,
Bajra,Uttar Pradesh,Kharif,9.07,9.05,9.47,10.1,8.28,20.14,19.51,20.46,21.95,16.84,2221,2156,2160,2173,2033
Bajra,Uttarakhand,Kharif,,,,,,,0,,,,,,,,
Bajra,West Bengal,Kharif,0,0,0,0,0,0,0,0,0,0,425,428,425,410,407
Bajra,Others,Kharif,,,,,0.24,,,,,0.19,,,,,783
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Ragi,Andaman And Nicobar Islands,Kharif,,0,,,,,0,,,,,0,,,
Ragi,Andhra Pradesh,Kharif,0.33,0.3,0.27,0.27,0.23,0.4,0.31,0.32,0.34,0.31,1197,1038,1185,1261,1348
Ragi,Arunachal Pradesh,Kharif,,0,0.27,0.28,,,0,0.28,0.29,,,0,1036,1037,
Ragi,Assam,Kharif,,,,0.01,,,0,,0.01,,,,,1029,
Ragi,Bihar,Kharif,0.03,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,934,978,1003,871,895
Ragi,Chandigarh,Kharif,,0,,,,,0,,,,,0,,,
Ragi,Chhattisgarh,Kharif,0.05,0.03,0.03,0.03,0.03,0.02,0.01,0.01,0.01,0.01,302,300,293,274,284
Ragi,Dadra And Nagar Haveli,Kharif,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,,1652,1667,1656,1675,
Ragi,Daman And Diu,Kharif,,0,,,,,0,,,,,0,,,
Ragi,Delhi,Kharif,,0,,,,,0,,,,,0,,,
Ragi,Goa,Kharif,,,,,,,0,,,,,,,,
Ragi,Gujarat,Kharif,0.1,0.1,0.1,0.1,0.1,0.13,0.09,0.08,0.08,0.08,1205,900,812,820,766
Ragi,Haryana,Kharif,,,,,,,0,,,,,,,,
Ragi,Himachal Pradesh,Kharif,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,842,937,850,770,880
Ragi,Jammu And Kashmir,Kharif,0,0,0,0,,0,0,0,0,,0,0,548,548,
Ragi,Jharkhand,Kharif,0.19,0.19,0.16,0.32,0.4,0.16,0.17,0.13,0.31,0.44,874,878,775,971,1108
Ragi,Karnataka,Kharif,7.85,8.46,8.12,8.27,8.73,13.7,11.27,11.48,10.35,12.34,1745,1332,1414,1251,1414
Ragi,Kerala,Kharif,0,0,0,0,0,0,0,0,0,0,1435,1661,1696,1331,1615
Ragi,Ladakh,Kharif,,0,,,,,0,,,,,0,,,
Ragi,Lakshadweep,Kharif,,0,,,,,0,,,,,0,,,
Ragi,Madhya Pradesh,Kharif,0,0,,,,0,0,,,,0,0,,,
Ragi,Maharashtra,Kharif,0.82,0.81,0.69,0.69,0.69,0.94,1.03,0.91,1.13,0.96,1151,1263,1327,1635,1401
Ragi,Manipur,Kharif,,0,,,,,0,,,,,0,,,
Ragi,Meghalaya,Kharif,,0,,,,,0,,,,,0,,,
Ragi,Mizoram,Kharif,,,,,,,0,,,,,,,,
Ragi,Nagaland,Kharif,0,0,0,0,,0,0,0,0,,971,644,966,860,
Ragi,Odisha,Kharif,0.41,0.55,0.43,0.66,0.41,0.33,0.44,0.37,0.56,0.35,796,794,873,853,856
Ragi,Puducherry,Kharif,0,0,0,0,,0,0,0,0,,2422,2413,2403,2913,
Ragi,Punjab,Kharif,,,,,,,0,,,,,,,,
Ragi,Rajasthan,Kharif,,,,,,,0,,,,,,,,
Ragi,Sikkim,Kharif,,0.02,0,0.02,,,0.02,0,0.02,,,1041,1043,1048,
Ragi,Tamil Nadu,Kharif,0.83,0.74,0.7,0.71,0.64,2.89,2.27,2.07,2.44,2.41,3481,3056,2967,3432,3758
Ragi,Telangana,Kharif,0.01,0.01,,,0,0.01,0.02,,,0,1343,1647,,,1211
Ragi,Tripura,Kharif,,0,,,,,0,,,,,0,,,
Ragi,Uttar Pradesh,Kharif,,,,,,,0,,,,,,,,
Ragi,Uttarakhand,Kharif,0.89,0.86,0.76,0.69,0.65,1.3,1.27,1.14,1.06,1.01,1459,1478,1503,1540,1548
Ragi,West Bengal,Kharif,0.06,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1073,1176,1222,962,1012
Ragi,Others,Kharif,,,,,0.31,,,,,0.33,,,,,1051
,,,,,,,,,,,,,,,,,
Small Millets,Andaman And Nicobar Islands,Kharif,,0,,,,,0,,,,,0,,,
Small Millets,Andhra Pradesh,Kharif,0.22,0.14,0.11,0.13,0.31,0.19,0.13,0.09,0.11,0.27,864,929,860,902,860
Small Millets,Arunachal Pradesh,Kharif,0.27,0.27,,,,0.28,0.28,,,,1030,1033,,,
Small Millets,Assam,Kharif,0.05,0.05,0.06,0.08,0.07,0.03,0.03,0.05,0.06,0.05,656,664,799,740,735
Small Millets,Bihar,Kharif,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.02,753,755,754,755,755
Small Millets,Chandigarh,Kharif,,0,,,,,0,,,,,0,,,
Small Millets,Chhattisgarh,Kharif,0.85,0.52,0.44,0.41,0.37,0.22,0.26,0.22,0.25,0.18,258,501,492,599,482
Small Millets,Dadra And Nagar Haveli,Kharif,0,0,,,,0,0,,,,0,0,,,
Small Millets,Daman And Diu,Kharif,,0,,,,,0,,,,,0,,,
Small Millets,Delhi,Kharif,,0,,,,,0,,,,,0,,,
Small Millets,Goa,Kharif,,0,,,,,0,,,,,0,,,
Small Millets,Gujarat,Kharif,0.08,0.12,0.08,0.12,0.14,0.13,0.23,0.16,0.29,0.3,1541,1988,2055,2409,2124
Small Millets,Haryana,Kharif,,,,,,,0,,,,,,,,
Small Millets,Himachal Pradesh,Kharif,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,972,680,691,691,715
Small Millets,Jammu And Kashmir,Kharif,0.08,0.02,0,0,,0.02,0.01,0,0,,264,404,580,411,
Small Millets,Jharkhand,Kharif,,,,,,,0,,,,,,,,
Small Millets,Karnataka,Kharif,0.26,0.29,0.32,0.29,0.51,0.2,0.24,0.25,0.22,0.75,778,823,792,746,1471
Small Millets,Kerala,Kharif,0,0,0,0,0,0,0,0,0,0,745,1206,1250,905,1200
Small Millets,Ladakh,Kharif,,0,,,,,0,,,,,0,,,
Small Millets,Lakshadweep,Kharif,,0,,,,,0,,,,,0,,,
Small Millets,Madhya Pradesh,Kharif,0.78,0.89,1.45,1.4,1.06,0.69,0.77,1.41,1.36,1.03,890,860,970,971,971
Small Millets,Maharashtra,Kharif,0.37,0.6,0.54,0.58,0.48,0.17,0.26,0.27,0.3,0.26,452,432,504,507,537
Small Millets,Manipur,Kharif,,0,,,,,0,,,,,0,,,
Small Millets,Meghalaya,Kharif,0.03,0.03,0.03,0.03,,0.03,0.03,0.03,0.03,,941,960,921,921,
Small Millets,Mizoram,Kharif,,,,,,,0,,,,,,,,
Small Millets,Nagaland,Kharif,0.09,0.07,0.1,0.14,,0.1,0.07,0.11,0.15,,1130,980,1138,1130,
Small Millets,Odisha,Kharif,0.35,0.38,0.41,0.41,0.29,0.18,0.2,0.32,0.32,0.22,511,511,780,780,776
Small Millets,Puducherry,Kharif,0,0,,0,,0,0,,0,,2375,1200,,1200,
Small Millets,Punjab,Kharif,,,,,,,0,,,,,,,,
Small Millets,Rajasthan,Kharif,0.07,0.07,0.04,0.04,0.03,0.04,0.04,0.01,0.05,0.04,660,633,338,1094,1218
Small Millets,Sikkim,Kharif,0.02,0,,,,0.02,0,,,,1038,0,,,
Small Millets,Tamil Nadu,Kharif,0.24,0.23,0.15,0.22,0.19,0.31,0.3,0.18,0.28,0.23,1247,1298,1178,1270,1252
Small Millets,Telangana,Kharif,0,0,0.01,,0.01,0,0,0.01,,0,0,0,1048,,877
Small Millets,Tripura,Kharif,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,,801,812,984,984,
Small Millets,Uttar Pradesh,Kharif,0.12,0.07,0.1,0.49,0.33,0.09,0.05,0.08,0.42,0.28,765,662,764,865,850
Small Millets,Uttarakhand,Kharif,0.49,0.47,0.39,0.4,0.41,0.71,0.73,0.62,0.62,0.54,1449,1559,1578,1523,1326
Small Millets,West Bengal,Kharif,0.01,0.01,0.01,0.01,0.01,0,0.01,0,0,0,502,1045,482,515,510
Small Millets,Others,Kharif,,,,,0.18,,,,,0.19,,,,,1078
,,,,,,,,,,,,,,,,,
Shree Anna /Nutri Cereals,Andaman And Nicobar Islands,Kharif,,0,,,,,0,,,,,0,,,
Shree Anna /Nutri Cereals,Andaman And Nicobar Islands,Rabi,,,,,,,0,,,,,,,,
Shree Anna /Nutri Cereals,Andhra Pradesh,Kharif,0.89,0.78,0.65,0.69,0.84,1.33,1.02,0.9,1.03,1.22,1497,1307,1379,1490,1448
Shree Anna /Nutri Cereals,Andhra Pradesh,Rabi,1.17,0.74,0.64,0.97,0.78,4.07,2.57,2.78,3.2,2.89,3482,3476,4346,3306,3709
Shree Anna /Nutri Cereals,Andhra Pradesh,Summer,,,0.04,0.03,0.03,,,0.08,0.06,0.07,,,2027,2108,2320
Shree Anna /Nutri Cereals,Arunachal Pradesh,Kharif,0.27,0.27,0.27,0.28,,0.28,0.28,0.28,0.29,,1030,1033,1036,1037,
Shree Anna /Nutri Cereals,Arunachal Pradesh,Rabi,,0,,,,,0,,,,,0,,,
Shree Anna /Nutri Cereals,Assam,Kharif,0.05,0.05,0.06,0.09,0.07,0.03,0.03,0.05,0.07,0.05,656,664,799,775,735
Shree Anna /Nutri Cereals,Assam,Rabi,,,,,,,0,,,,,,,,
Shree Anna /Nutri Cereals,Bihar,Kharif,0.1,0.08,0.07,0.07,0.09,0.1,0.09,0.07,0.07,0.09,993,1004,1003,962,974
Shree Anna /Nutri Cereals,Bihar,Rabi,,,,,,,0,,,,,,,,
Shree Anna /Nutri Cereals,Chandigarh,Kharif,,0,,,,,0,,,,,0,,,
Shree Anna /Nutri Cereals,Chandigarh,Rabi,,0,,,,,0,,,,,0,,,
Shree Anna /Nutri Cereals,Chhattisgarh,Kharif,0.92,0.57,0.48,0.45,0.41,0.26,0.28,0.24,0.26,0.19,285,495,495,581,473
Shree Anna /Nutri Cereals,Chhattisgarh,Rabi,,,,,,,0,,,,,,,,
Shree Anna /Nutri Cereals,Dadra And Nagar Haveli,Kharif,0.01,0.01,0.01,0.01,,0.01,0.01,0.02,0.02,,1652,1667,1605,1624,
Shree Anna /Nutri Cereals,Dadra And Nagar Haveli,Rabi,,0,,,,,0,,,,,0,,,
Shree Anna /Nutri Cereals,Daman And Diu,Kharif,0,0,,,,0.01,0.01,,,,1509,1530,,,
Shree Anna /Nutri Cereals,Daman And Diu,Rabi,,0,,,,,0,,,,,0,,,
Shree Anna /Nutri Cereals,Delhi,Kharif,0.04,0.04,0.04,0.04,,0.08,0.06,0.08,0.07,,1907,1527,1726,1709,
Shree Anna /Nutri Cereals,Delhi,Rabi,,,,,,,0,,,,,,,,
Shree Anna /Nutri Cereals,Goa,Kharif,,0,,,,,0,,,,,0,,,
Shree Anna /Nutri Cereals,Goa,Rabi,,,,,,,0,,,,,,,,
Shree Anna /Nutri Cereals,Gujarat,Kharif,5.06,4.96,2.2,2.39,2.11,10.74,11.62,3.76,4.12,3.74,2124,2343,1707,1725,1769
Shree Anna /Nutri Cereals,Gujarat,Rabi,0.15,0.15,0.13,0.23,0.14,0.18,0.17,0.21,0.41,0.2,1236,1179,1577,1800,1440
Shree Anna /Nutri Cereals,Gujarat,Summer,,,3.18,3.23,3.18,,,9.67,9.55,9.55,,,3042,2960,3000
Shree Anna /Nutri Cereals,Haryana,Kharif,6,5.06,5.53,5.47,5.92,13.67,11.32,12.14,11.71,12.62,2276,2235,2195,2141,2130
Shree Anna /Nutri Cereals,Haryana,Rabi,,,,,,,0,,,,,,,,
Shree Anna /Nutri Cereals,Himachal Pradesh,Kharif,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,886,737,712,691,739
Shree Anna /Nutri Cereals,Himachal Pradesh,Rabi,,,,,,,0,,,,,,,,
Shree Anna /Nutri Cereals,Jammu And Kashmir,Kharif,0.21,0.11,0.18,0.19,,0.09,0.06,0.11,0.1,,405,558,586,513,
Shree Anna /Nutri Cereals,Jammu And Kashmir,Rabi,,,,,,,0,,,,,,,,
Shree Anna /Nutri Cereals,Jharkhand,Kharif,0.21,0.21,0.17,0.33,0.43,0.18,0.18,0.14,0.32,0.48,853,872,781,970,1123
Shree Anna /Nutri Cereals,Jharkhand,Rabi,,,,,,,0,,,,,,,,
Shree Anna /Nutri Cereals,Karnataka,Kharif,11.21,10.98,10.22,10.47,11.51,18.42,14.43,14.35,13.29,16.77,1643,1315,1404,1269,1457
Shree Anna /Nutri Cereals,Karnataka,Rabi,6.62,5.4,4.93,7.45,5.41,7.27,6.1,5.82,8.33,6.02,1098,1130,1181,1118,1112
Shree Anna /Nutri Cereals,Karnataka,Summer,,,0.12,,,,,0.15,,,,,1250,,
Shree Anna /Nutri Cereals,Kerala,Kharif,0,0,0,0.01,0,0,0,0,0.01,0,1249,1558,1593,693,1500
Shree Anna /Nutri Cereals,Kerala,Rabi,0,0,,0,,0,0,,0,,894,1460,,800,
Shree Anna /Nutri Cereals,Kerala,Summer,,,0,0,0,,,0,0,0,,,1500,1340,1781
Shree Anna /Nutri Cereals,Ladakh,Kharif,,0,,,,,0,,,,,0,,,
Shree Anna /Nutri Cereals,Ladakh,Rabi,,0,,,,,0,,,,,0,,,
Shree Anna /Nutri Cereals,Lakshadweep,Kharif,,0,,,,,0,,,,,0,,,
Shree Anna /Nutri Cereals,Lakshadweep,Rabi,,0,,,,,0,,,,,0,,,
Shree Anna /Nutri Cereals,Madhya Pradesh,Kharif,5.17,5.55,6.05,6.15,4.83,10.24,11.81,12.54,13.02,11.46,1981,2129,2072,2117,2372
Shree Anna /Nutri Cereals,Madhya Pradesh,Rabi,0,0,,,,0,0,,,,0,0,,,
Shree Anna /Nutri Cereals,Maharashtra,Kharif,11.85,10.17,6.73,6.06,6.29,11.49,9.09,6.86,4.54,7.79,969,894,1019,749,1238
Shree Anna /Nutri Cereals,Maharashtra,Rabi,17,14.4,13.29,15.91,15.46,13.65,13.96,11.84,16.45,17.13,803,970,891,1034,1108
Shree Anna /Nutri Cereals,Maharashtra,Summer,,,0.32,0.75,0.75,,,0.28,0.65,0.66,,,877,867,876
Shree Anna /Nutri Cereals,Manipur,Kharif,,0,,,,,0,,,,,0,,,
Shree Anna /Nutri Cereals,Manipur,Rabi,,,,,,,0,,,,,,,,
Shree Anna /Nutri Cereals,Meghalaya,Kharif,0.03,0.03,0.03,0.03,,0.03,0.03,0.03,0.03,,941,960,921,921,
Shree Anna /Nutri Cereals,Meghalaya,Rabi,,0,,,,,0,,,,,0,,,
Shree Anna /Nutri Cereals,Mizoram,Kharif,,,,,,,0,,,,,,,,
Shree Anna /Nutri Cereals,Mizoram,Rabi,,,,,,,0,,,,,,,,
Shree Anna /Nutri Cereals,Nagaland,Kharif,0.1,0.09,0.13,0.18,,0.11,0.08,0.14,0.2,,1112,948,1118,1099,
